x,y,z,pen,layer
0.81383,1.48491,0,1,0
0.81366,1.48582,0,1,0
0.81360,1.48677,0,1,0
1.11691,1.88019,0,0,0
1.11697,1.88113,0,1,0
1.11714,1.88205,0,1,0
1.11742,1.88292,0,1,0
1.11780,1.88374,0,1,0
1.11827,1.88450,0,1,0
1.11882,1.88521,0,1,0
1.11945,1.88584,0,1,0
1.12015,1.88639,0,1,0
1.12092,1.88686,0,1,0
1.12174,1.88724,0,1,0
1.12261,1.88751,0,1,0
1.12352,1.88769,0,1,0
1.12447,1.88774,0,1,0
1.12542,1.88769,0,1,0
1.12633,1.88751,0,1,0
1.12720,1.88724,0,1,0
1.12802,1.88686,0,1,0
1.12879,1.88639,0,1,0
1.12949,1.88584,0,1,0
1.13012,1.88521,0,1,0
1.13067,1.88450,0,1,0
1.13114,1.88374,0,1,0
1.13152,1.88292,0,1,0
1.13180,1.88205,0,1,0
1.13197,1.88113,0,1,0
1.13203,1.88019,0,1,0
1.13197,1.87924,0,1,0
1.13180,1.87833,0,1,0
1.13152,1.87746,0,1,0
1.13114,1.87664,0,1,0
1.13067,1.87587,0,1,0
1.13012,1.87517,0,1,0
1.12949,1.87454,0,1,0
1.12879,1.87398,0,1,0
1.12802,1.87352,0,1,0
1.12720,1.87314,0,1,0
1.12633,1.87286,0,1,0
1.12542,1.87269,0,1,0
1.12447,1.87263,0,1,0
1.12352,1.87269,0,1,0
1.12261,1.87286,0,1,0
1.12174,1.87314,0,1,0
1.12092,1.87352,0,1,0
1.12015,1.87398,0,1,0
1.11945,1.87454,0,1,0
1.11882,1.87517,0,1,0
1.11827,1.87587,0,1,0
1.11780,1.87664,0,1,0
1.11742,1.87746,0,1,0
1.11714,1.87833,0,1,0
1.11697,1.87924,0,1,0
1.11691,1.88019,0,1,0
1.16673,1.66221,0,0,0
1.16679,1.66316,0,1,0
1.16696,1.66407,0,1,0
1.16724,1.66494,0,1,0
1.16762,1.66576,0,1,0
1.16808,1.66652,0,1,0
1.16864,1.66723,0,1,0
1.16927,1.66786,0,1,0
1.16997,1.66841,0,1,0
1.17074,1.66888,0,1,0
1.17156,1.66926,0,1,0
1.17243,1.66953,0,1,0
1.17334,1.66971,0,1,0
1.17429,1.66977,0,1,0
1.17524,1.66971,0,1,0
1.17615,1.66953,0,1,0
1.17702,1.66926,0,1,0
1.17784,1.66888,0,1,0
1.17861,1.66841,0,1,0
1.17931,1.66786,0,1,0
1.17994,1.66723,0,1,0
